epoch,seed,lr,noise_l1,val_masked_mae,val_masked_rmse,val_masked_psnr,val_masked_occ_iou,val_fused_full_psnr,val_fused_full_occ_iou,val_full_psnr_raw
1,42,2.75e-05,5.8115863872540965,,,,,,,
2,42,5e-05,4.6767816011970105,,,,,,,
3,42,4.9992026250277686e-05,4.002507202528618,,,,,,,
4,42,4.996811065272714e-05,3.8853685751154616,,,,,,,
5,42,4.992827015819188e-05,3.86586995677905,,,,,,,
6,42,4.987253300472809e-05,3.7839488295821457,,,,,,,
7,42,4.980093869759016e-05,3.773240818902179,,,,,,,
8,42,4.971353798123025e-05,3.754222200260506,,,,,,,
9,42,4.9610392803331726e-05,3.7525772036195875,,,,,,,
10,42,4.9491576270902e-05,3.7065929606691137,0.4339158229112446,0.45920224233861806,6.759919997876278,0.04467901600543396,15.378156602145868,0.2613169545624653,7.661874785789871
11,42,4.9357172598455976e-05,3.6877571470565624,,,,,,,
12,42,4.9207277048326614e-05,3.6345142514050544,,,,,,,
13,42,4.904199586314512e-05,3.6109758889352954,,,,,,,
14,42,4.886144619053858e-05,3.5690852484187565,,,,,,,
15,42,4.866575600009825e-05,3.5872253595708727,,,,,,,
16,42,4.845506399267762e-05,3.5267168083437928,,,,,,,
17,42,4.822951950208429e-05,3.525703675843574,,,,,,,
18,42,4.7989282389235555e-05,3.510272374695486,,,,,,,
19,42,4.7734522928852436e-05,3.494299154158111,,,,,,,
20,42,4.746542168877286e-05,3.465842133840999,0.3668625428029233,0.4761647937851664,6.444854363841622,0.04467901600543396,15.06309096811121,0.2613169545624653,7.74269767569482
21,42,4.7182169401969127e-05,3.472687887178885,,,,,,,
22,42,4.688496683136064e-05,3.4627639839241096,,,,,,,
23,42,4.6574024627517593e-05,3.4614090618786513,,,,,,,
24,42,4.624956317935659e-05,3.459475242876792,,,,,,,
25,42,4.59118124579338e-05,3.472292332364632,,,,,,,
26,42,4.5561011853446684e-05,3.447914702129794,,,,,,,
27,42,4.519741000555946e-05,3.450126361739528,,,,,,,
28,42,4.482126462717289e-05,3.4208477013282947,,,,,,,
29,42,4.443284232176312e-05,3.417281200219919,,,,,,,
30,42,4.403241839441901e-05,3.430045419045397,0.24571434362577815,0.3820310343713541,8.358027113034556,0.04467901600543396,16.976263717304146,0.2613169545624653,11.018994618079951
31,42,4.362027665671209e-05,3.458594024449855,,,,,,,
32,42,4.319670922553716e-05,3.4304971842615455,,,,,,,
33,42,4.2762016316066365e-05,3.4368855047064857,,,,,,,
34,42,4.2316506028963374e-05,3.434602841869131,,,,,,,
35,42,4.186049413200845e-05,3.422098234295845,,,,,,,
36,42,4.139430383628932e-05,3.3944861754640803,,,,,,,
37,42,4.091826556711628e-05,3.406394220150269,,,,,,,
38,42,4.043271672982416e-05,3.3913417735078313,,,,,,,
39,42,3.993800147062685e-05,3.4069759214783573,,,,,,,
40,42,3.9434470432694206e-05,3.3927532564680853,0.2726559064083105,0.41129654220612216,7.716898832287353,0.04467901600543396,16.335135436556943,0.2613169545624653,10.05583480385
41,42,3.89224805076239e-05,3.4080678468888945,,,,,,,
42,42,3.840239458248463e-05,3.412700986271506,,,,,,,
43,42,3.787458128260983e-05,3.386670288201925,,,,,,,
44,42,3.733941471032425e-05,3.4201677261709094,,,,,,,
45,42,3.679727417978851e-05,3.3853923844861553,,,,,,,
46,42,3.624854394814972e-05,3.3848983179610053,,,,,,,
47,42,3.5693612943188506e-05,3.3779523541798464,,,,,,,
48,42,3.513287448765568e-05,3.358857493948292,,,,,,,
49,42,3.4566726020493854e-05,3.3620767061774797,,,,,,,
50,42,3.3995568815141475e-05,3.3592758100849016,0.2587771585144166,0.38795395831591006,8.22439625284858,0.04467901600543396,16.84263285711817,0.2613169545624653,9.571170765249205
51,42,3.341980769511923e-05,3.385784675409128,,,,,,,
52,42,3.283985074710009e-05,3.380225758966025,,,,,,,
53,42,3.225610903166655e-05,3.3873068035185874,,,,,,,
54,42,3.1668996291960073e-05,3.394322690260303,,,,,,,
55,42,3.1078928660429124e-05,3.3886108250768334,,,,,,,
56,42,3.0486324363883747e-05,3.3948961242630675,,,,,,,
57,42,2.9891603427065723e-05,3.4085976690859408,,,,,,,
58,42,2.929518737494437e-05,3.3779282653116964,,,,,,,
59,42,2.869749893394902e-05,3.380946620761811,,,,,,,
60,42,2.8098961732349934e-05,3.364505001687789,0.2597042848415407,0.3971395728734488,8.021136712296649,0.04467901600543396,16.639373316566235,0.2613169545624653,9.147463488140659
61,42,2.75e-05,3.361882249916996,,,,,,,
62,42,2.690103826765007e-05,3.353947480519613,,,,,,,
63,42,2.6302501066050986e-05,3.3586255134762943,,,,,,,
64,42,2.570481262505563e-05,3.3826554729057863,,,,,,,
65,42,2.5108396572934282e-05,3.3784210711449116,,,,,,,
66,42,2.451367563611626e-05,3.376653958548297,,,,,,,
67,42,2.3921071339570885e-05,3.386066512615831,,,,,,,
68,42,2.3331003708039932e-05,3.377223795867181,,,,,,,
69,42,2.2743890968333453e-05,3.3752782860317745,,,,,,,
70,42,2.2160149252899917e-05,3.3692173681280635,0.24621209628994647,0.3936681150884529,8.097395184099312,0.04467901600543396,16.7156317883689,0.2613169545624653,9.042905874778894
71,42,2.1580192304880777e-05,3.363433518790984,,,,,,,
72,42,2.1004431184858534e-05,3.364291200498203,,,,,,,
73,42,2.043327397950616e-05,3.333881885216043,,,,,,,
74,42,1.9867125512344317e-05,3.3435295949111112,,,,,,,
75,42,1.9306387056811502e-05,3.3687258762819274,,,,,,,
76,42,1.8751456051850286e-05,3.385524797009992,,,,,,,
77,42,1.82027258202115e-05,3.34438551801282,,,,,,,
78,42,1.7660585289675755e-05,3.3830251504440567,,,,,,,
79,42,1.7125418717390167e-05,3.363173896127993,,,,,,,
80,42,1.6597605417515373e-05,3.362690888680853,0.24210100941615684,0.39171469946072945,8.140602616788435,0.04467901600543396,16.758839221058025,0.2613169545624653,8.908977210236591
81,42,1.6077519492376107e-05,3.3735990206132063,,,,,,,
82,42,1.5565529567305796e-05,3.3566769808530807,,,,,,,
83,42,1.5061998529373156e-05,3.359703938837524,,,,,,,
84,42,1.4567283270175848e-05,3.366482469681147,,,,,,,
85,42,1.4081734432883717e-05,3.3595746037390857,,,,,,,
86,42,1.3605696163710686e-05,3.346477621847445,,,,,,,
87,42,1.3139505867991553e-05,3.366265095568992,,,,,,,
88,42,1.2683493971036635e-05,3.3693247453586475,,,,,,,
89,42,1.2237983683933638e-05,3.3377009701352938,,,,,,,
90,42,1.1803290774462846e-05,3.383361960585053,0.24053356388411679,0.3866409261170794,8.25384355213546,0.04467890103485238,16.872080156405048,0.26131687218040406,9.089794306356282
91,42,1.137972334328791e-05,3.3698136920596027,,,,,,,
92,42,1.0967581605580993e-05,3.384834345665064,,,,,,,
93,42,1.0567157678236884e-05,3.3381543693778752,,,,,,,
94,42,1.0178735372827107e-05,3.3626647025078267,,,,,,,
95,42,9.802589994440546e-06,3.3520415721981376,,,,,,,
96,42,9.438988146553323e-06,3.3596754009659224,,,,,,,
97,42,9.088187542066199e-06,3.3720089301869676,,,,,,,
98,42,8.75043682064341e-06,3.3644502219316124,,,,,,,
99,42,8.425975372482405e-06,3.354292080209062,,,,,,,
100,42,8.115033168639362e-06,3.369138735908646,0.2376128643232917,0.3784481228812306,8.4398728908097,0.04467894515218353,17.058109495079286,0.2613169258432558,9.362389738107156
101,42,7.817830598030872e-06,3.3602262729997032,,,,,,,
102,42,7.534578311227143e-06,3.3625498795294546,,,,,,,
103,42,7.26547707114757e-06,3.360678035128224,,,,,,,
104,42,7.010717610764453e-06,3.362875969828786,,,,,,,
105,42,6.770480497915708e-06,3.3500457636944883,,,,,,,
106,42,6.5449360073223855e-06,3.354232028395206,,,,,,,
107,42,6.3342439999017524e-06,3.3868352220402107,,,,,,,
108,42,6.138553809461422e-06,3.3687644261229144,,,,,,,
109,42,5.9580041368548775e-06,3.3638056606591284,,,,,,,
110,42,5.7927229516733924e-06,3.3656757294057726,0.2452231658568054,0.37909905103277197,8.424946054111587,0.04467875585201999,17.043182658381173,0.26131679902066185,9.2316899380748
111,42,5.642827401544029e-06,3.3544759461740115,,,,,,,
112,42,5.5084237290980005e-06,3.3647332747240326,,,,,,,
113,42,5.389607196668279e-06,3.34117765496443,,,,,,,
114,42,5.286462018769748e-06,3.361988375852774,,,,,,,
115,42,5.199061302409841e-06,3.3394295132911958,,,,,,,
116,42,5.127466995271916e-06,3.384014852949091,,,,,,,
117,42,5.071729841808123e-06,3.358278691365912,,,,,,,
118,42,5.031889347272857e-06,3.3717922834125726,,,,,,,
119,42,5.007973749722316e-06,3.3827686097707836,,,,,,,
120,42,5e-06,3.3747124325584723,0.23281605262561555,0.37983026189058167,8.408208740977958,0.04467852069639021,17.02644534524755,0.2613166106745653,9.296335553779835
